Sequence_ID,Full_name,Target_Name,UniprotID,EntrezeeGene_Nname
8364-74,Uronyl 2-sulfotransferase,UST,Q9Y2C2,UST
8366-19,Uncharacterized protein C1orf115,CA115,Q9H7X2,C1orf115
8367-142,V-set and immunoglobulin domain-containing protein 1,VSIG1,Q86XK7,VSIG1
8368-102,Tumor necrosis factor receptor superfamily member 1B,TNF sR-II,P20333,TNFRSF1B
8369-102,Dystroglycan,DAG1,Q14118,DAG1
8372-29,Cadherin-related family member 1,CDHR1,Q96JP9,CDHR1
8374-5,Tumor necrosis factor receptor superfamily member 16,NGF R,P08138,NGFR
8376-25,Lutropin subunit beta,LSHB,P01229,LHB
8378-3,Protein LDOC1,LDOC1,O95751,LDOC1
8380-244,Protein delta homolog 1:Cytoplasmic domain,DLK1:CD,P80370,DLK1
8382-47,MAP kinase-activated protein kinase 5,MAPK5,Q8IW41,MAPKAPK5
8383-20,Uncharacterized protein C11orf94,CK094,C9JXX5,C11orf94
8385-248,Hepatocyte growth factor activator,HGFA,Q04756,HGFAC
8386-11,Prostate and testis expressed protein 1,PATE,Q8WXA2,PATE1
8388-24,Spastin:Cytoplasmic domain,Spastin:CD,Q9UBP0,SPAST
8389-8,Leucine-rich repeat-containing protein 74A,CN16B,Q0VAA2,LRRC74A
8390-25,"Cytochrome c oxidase subunit 7A1, mitochondrial",CX7A1,P24310,COX7A1
8391-12,Beta-defensin 115,DB115,Q30KQ5,DEFB115
8393-121,Cathepsin F,CATF,Q9UBX1,CTSF
8394-56,Non-secretory ribonuclease,RNase 2,P10153,RNASE2
8396-42,Fatty-acid amide hydrolase 2,FAAH2,Q6GMR7,FAAH2
8397-147,Sulfhydryl oxidase 2,QSOX2,Q6ZRP7,QSOX2
8398-277,Retinoic acid receptor responder protein 1,RAR-responsive protein TIG1,P49788,RARRES1
8399-6,Serine/threonine-protein kinase 17B,DRAK2,O94768,STK17B
8400-74,Gastrin-releasing peptide,Gastrin-releasing peptide,P07492,GRP
8402-22,Cytokine-like protein 1,CYTL1,Q9NRR1,CYTL1
8403-18,Fatty acid synthase,Fatty acid synthase,P49327,FASN
8404-102,BolA-like protein 2,BolA-like protein 2,Q9H3K6,BOLA2
8405-108,Disintegrin and metalloproteinase domain-containing protein 10:Extracellular domain,ADAM 10:ECD,O14672,ADAM10
8406-17,Insulin-like growth factor I,IGF-I,P05019,IGF1
8407-84,Neurogenic locus notch homolog protein 2,NOTC2,Q04721,NOTCH2
8409-3,R-spondin-2,RSPO2,Q6UXX9,RSPO2
8418-30,Catenin beta-1,b-Catenin,P35222,CTNNB1
8424-269,Catenin beta-1,b-Catenin,P35222,CTNNB1
8427-118,R-spondin-3,RSPO3,Q9BXY4,RSPO3
8428-102,Neurotrimin,NTRI,Q9P121,NTM
8429-16,Axin-2,AXIN2,Q9Y2T1,AXIN2
8446-4,Pituitary adenylate cyclase-activating polypeptide 27,PACAP-27,P18509,ADCYAP1
8447-11,Appetite-regulating hormone,ghrelin,Q9UBU3,GHRL
8450-36,Pituitary adenylate cyclase-activating polypeptide 38,PACAP-38,P18509,ADCYAP1
8458-111,Alpha-synuclein,a-Synuclein,P37840,SNCA
8458-16,Alpha-synuclein,a-Synuclein,P37840,SNCA
8459-10,Bone morphogenetic protein 6,BMP-6,P22004,BMP6
8462-18,Somatotropin,HGH,P01241,GH1
8463-2,Extracellular superoxide dismutase [Cu-Zn],SOD3,P08294,SOD3
8464-31,R-spondin-4,RSPO4,Q2I0M5,RSPO4
8465-52,Cathepsin H,Cathepsin H,P09668,CTSH
8467-9,Inhibin beta A chain:Inhibin beta B chain heterodimer,Activin AB,P08476 | P09529,INHBA | INHBB
8468-19,Prostate-specific antigen,PSA,P07288,KLK3
8469-41,Insulin-like growth factor-binding protein 2,IGFBP-2,P18065,IGFBP2
8470-213,Ribonuclease H1,RNase H1,O60930,RNASEH1
8474-6,Inactive tyrosine-protein kinase transmembrane receptor ROR1,ROR1,Q01973,ROR1
8475-15,Matrilysin,MMP-7,P09237,MMP7
8476-11,Chromogranin-A,CgA,P10645,CHGA
8479-4,Stromelysin-2,MMP-10,P09238,MMP10
8480-29,EGF-containing fibulin-like extracellular matrix protein 1,FBLN3,Q12805,EFEMP1
8484-24,Leptin,Leptin,P41159,LEP
8485-7,Kelch-like ECH-associated protein 1,KEAP1,Q14145,KEAP1
8488-33,Integrin alpha-IIb: beta-3 complex,gpIIbIIIa,P05106 | P08514,ITGB3 | ITGA2B
8520-8,Disintegrin and metalloproteinase domain-containing protein 30,ADA30,Q9UKF2,ADAM30
8528-74,Immunoglobulin superfamily containing leucine-rich repeat protein 2,ISLR2,Q6UXK2,ISLR2
8529-1,Tumor necrosis factor receptor superfamily member 10B:Death domain,TRAIL R2:Death,O14763,TNFRSF10B
8535-102,Dermokine,Dermokine,Q6E0U4,DMKN
8545-14,Uncharacterized protein C17orf78:C-term,CQ078:C-term,Q8N4C9,C17orf78
8556-5,Protein FAM134B,F134B,Q9H6L5,RETREG1
8565-160,Plasmalemma vesicle-associated protein,PLVAP,Q9BX97,PLVAP
8569-147,ADP-ribosylation factor-like protein 8B,ARL8B,Q9NVJ2,ARL8B
8587-21,Serine protease inhibitor Kazal-type 14,ISK52,Q6IE38,SPINK14
8589-13,CUB domain-containing protein 1,CDCP1,Q9H5V8,CDCP1
8597-1,Transmembrane protein 9:Cytoplasmic domain,TMEM9:CD,Q9P0T7,TMEM9
8601-167,"Low-density lipoprotein receptor-related protein 1, soluble:Cytoplasmic domain",sLRP1:CD,Q07954,LRP1
8606-39,Transmembrane glycoprotein NMB:Cytoplasmic domain,GPNMB:CD,Q14956,GPNMB
8620-56,Kallikrein-14,kallikrein 14,Q9P0G3,KLK14
8624-16,Netrin receptor UNC5D,UNC5H4,Q6UXZ4,UNC5D
8631-13,Erythroid membrane-associated protein,ERMAP,Q96PL5,ERMAP
8633-18,E3 ubiquitin-protein ligase RNF128:region 2,RN128:region 2,Q8TEB7,RNF128
8635-283,Zona pellucida-binding protein 1,ZPBP1,Q9BS86,ZPBP
8644-46,Cathepsin H,Cathepsin H,P09668,CTSH
8645-257,Peroxisomal membrane protein PEX14:C-term,PEX14:C-term,O75381,PEX14
8646-61,"Leucine-rich repeat transmembrane neuronal protein 4:Isoform 2, Cytoplasmic domain",LRRT4:CD,Q86VH4,LRRTM4
8653-132,DnaJ homolog subfamily C member 4:C-term,DNJC4:C-term,Q9NNZ3,DNAJC4
8654-13,Disintegrin and metalloproteinase domain-containing protein 10:Cytoplasmic domain,ADAM 10:CD,O14672,ADAM10
8659-68,"Protein G6b:Isoform B, Cytoplasmic domain",G6B:CD,O95866,MPIG6B
8660-33,Olfactomedin-like protein 3,OLFL3,Q9NRN5,OLFML3
8660-5,Olfactomedin-like protein 3,OLFL3,Q9NRN5,OLFML3
8664-36,Extracellular tyrosine-protein kinase PKDCC,PKDCC,Q504Y2,PKDCC
8671-378,Trafficking protein particle complex subunit 5,TPPC5,Q8IUR0,TRAPPC5
8681-93,"Membrane-associated progesterone receptor component 2:N-term, Isoform 2",PGRC2:N-term,O15173,PGRMC2
8686-342,Protein Hikeshi,HIKES,Q53FT3,HIKESHI
8687-26,Transmembrane protein 106B,T106B,Q9NUM4,TMEM106B
8690-25,Caveolin-3,CAV3,P56539,CAV3
8696-15,Galactosylceramide sulfotransferase,G3ST1,Q99999,GAL3ST1
8697-38,Glypican-1,Glypican 1,P35052,GPC1
8699-43,Cysteine-rich motor neuron 1 protein:Cytoplasmic domain,CRIM1:CD,Q9NZV1,CRIM1
8700-325,Polypeptide N-acetylgalactosaminyltransferase 11,GLT11,Q8NCW6,GALNT11
8702-42,Osteoclast-associated immunoglobulin-like receptor,OSCAR,Q8IYS5,OSCAR
8748-45,HLA class II histocompatibility antigen gamma chain,HG2A,P04233,CD74
8749-194,Antigen-presenting glycoprotein CD1d,CD1D,P15813,CD1D
8750-46,Vinculin,Vinculin,P18206,VCL
8754-5,Neuromedin-U,NMU,P48645,NMU
8756-41,"Potassium voltage-gated channel subfamily E regulatory beta subunit 5:N-term, opposite side of membrane",KCE1L:N-term,Q9UJ90,KCNE5
8758-2,Protocadherin alpha-7,PCDA7,Q9UN72,PCDHA7
8759-29,Lactosylceramide 4-alpha-galactosyltransferase,"a1,4-Galactosyltransferase",Q9NPC4,A4GALT
8760-10,DCN1-like protein 5,DCNL5,Q9BTE7,DCUN1D5
8762-38,CD70 antigen,CD70,P32970,CD70
8766-29,Leukocyte immunoglobulin-like receptor subfamily A member 5,LIRA5,A6NI73,LILRA5
8767-44,Endothelin-converting enzyme 1:Cytoplasmic domain,Endothelin-converting enzyme 1:CD,P42892,ECE1
8768-4,B-cell lymphoma/leukemia 10,Bcl-10,O95999,BCL10
8772-5,Ephrin-B2:Cytoplasmic domain,EFNB2:CD,P52799,EFNB2
8773-172,EMILIN-3:region 1,EMIL3:region 1,Q9NT22,EMILIN3
8775-61,Protein FAM24B,FA24B,Q8N5W8,FAM24B
8776-10,Erlin-1,ERLN1,O75477,ERLIN1
8778-3,Noggin,Noggin,Q13253,NOG
8780-2,Protocadherin-10:Cytoplasmic domain,PCD10:CD,Q9P2E7,PCDH10
8784-7,BRCA1-A complex subunit Abraxas,F175A,Q6UWZ7,ABRAXAS1
8785-1,Armadillo repeat-containing protein 5:Armadillo Repeat Domain 5,ARMC5:ARM 5,Q96C12,ARMC5
8786-6,Protein FAM171B:Extracellular domain,F171B:ECD,Q6P995,FAM171B
8790-6,Arylsulfatase A,Arylsulfatase A,P15289,ARSA
8791-151,"Carbonic anhydrase 5A, mitochondrial",Carbonic Anhydrase VA,P35218,CA5A
8794-13,Dipeptidase 1,DPEP1,P16444,DPEP1
8795-48,Transferrin receptor protein 1:Extracellular domain,TR:ECD,P02786,TFRC
8800-14,Tetratricopeptide repeat protein 17:Tetratricopeptide repeat 3,TTC17:TPR3,Q96AE7,TTC17
8803-61,"Nectin-1, isoform gamma:Cytoplasmic domain",nectin-1 gamma:CD,Q15223,NECTIN1
8804-39,Collagen alpha-1(XX) chain,COKA1,Q9P218,COL20A1
8807-13,Sorting nexin-1,SNX1,Q13596,SNX1
8810-26,Hepatocyte cell adhesion molecule,HEPACAM,Q14CZ8,HEPACAM
8811-24,BMP and activin membrane-bound inhibitor homolog:Extracellular domain,BAMBI:ECD,Q13145,BAMBI
8813-160,Thioredoxin,Thioredoxin,P10599,TXN
8814-33,Proactivator polypeptide-like 1,SAPL1,Q6NUJ1,PSAPL1
8815-1,Olfactomedin-like protein 1,OLFL1,Q6UWY5,OLFML1
8817-29,Centromere protein V,CENPV,Q7Z7K6,CENPV
8818-13,Interferon gamma receptor 2:Cytoplasmic domain,INGR2:CD,P38484,IFNGR2
8819-3,Insulin-like growth factor-binding protein 2,IGFBP-2,P18065,IGFBP2
8825-4,Paired immunoglobulin-like type 2 receptor alpha,PILRA,Q9UKJ1,PILRA
8828-21,Epithelial splicing regulatory protein 1,ESRP1,Q6NXG1,ESRP1
8830-29,BRISC complex subunit Abro1,F175B,Q15018,ABRAXAS2
8832-55,Bone marrow stromal antigen 2,BST-2,Q10589,BST2
8833-20,Tumor necrosis factor ligand superfamily member 10,TRAIL,P50591,TNFSF10
8834-58,Calnexin,Calnexin,P27824,CANX
8837-8,Microfibrillar-associated protein 3-like,MFA3L,O75121,MFAP3L
8838-10,Protein CASC4,CASC4,Q6P4E1,GOLM2
8839-4,Metaxin-2,Metaxin-2,O75431,MTX2
8840-61,Complement C1s subcomponent,C1s,P09871,C1S
8841-65,Cartilage intermediate layer protein 2,CILP2,Q8IUL8,CILP2
8842-16,GRAM domain-containing protein 1C,GRM1C,Q8IYS0,GRAMD1C
8843-34,Myelin regulatory factor,MRF,Q9Y2G1,MYRF
8845-2,A disintegrin and metalloproteinase with thrombospondin motifs 3,ATS3,O15072,ADAMTS3
8850-5,Putative inactive group IIC secretory phospholipase A2,PA2GC,Q5R387,PLA2G2C
8851-42,Protein FAM171B:Extracellular domain,F171B:ECD,Q6P995,FAM171B
8852-10,SUN domain-containing protein 3,SUN3,Q8TAQ9,SUN3
8853-2,C-type lectin domain family 4 member A,CLC4A,Q9UMR7,CLEC4A
8854-59,Ribonucleoside-diphosphate reductase subunit M2 B,RIR2B,Q7LG56,RRM2B
8858-21,Basic leucine zipper transcriptional factor ATF-like 3,BATF3,Q9NR55,BATF3
8859-51,Carbonic anhydrase-related protein 11,CAH11,O75493,CA11
8863-3,Phosphatidylinositol 3-kinase regulatory subunit alpha,P85A,P27986,PIK3R1
8864-59,Centromere protein W,CENPW,Q5EE01,CENPW
8866-53,Glutaminyl-peptide cyclotransferase-like protein,QPCTL,Q9NXS2,QPCTL
8867-18,Glycodelin,Glycodelin,P09466,PAEP
8869-5,Butyrophilin subfamily 2 member A1,BT2A1,Q7KYR7,BTN2A1
8870-38,Nucleophosmin,NPM1,P06748,NPM1
8871-14,"Nuclear migration protein nudC:N-term, contains nuclear localization domain",NUDC:N-term,Q9Y266,NUDC
8872-1,Protein transport protein Sec61 subunit gamma,SC61G,P60059,SEC61G
8874-53,Ceroid-lipofuscinosis neuronal protein 5:Lumenal domain,CLN5:LD,O75503,CLN5
8876-51,Neurexin-2-beta,NRX2B,P58401,NRXN2
8877-22,Protein eva-1 homolog C:Extracellular domain,F176C:ECD,P58658,EVA1C
8878-48,YTH domain-containing protein 1,YTDC1,Q96MU7,YTHDC1
8882-1,Disintegrin and metalloproteinase domain-containing protein 17:Cytoplasmic domain,ADAM 17:CD,P78536,ADAM17
8885-6,Voltage-dependent calcium channel subunit alpha-2/delta-3,CA2D3,Q8IZS8,CACNA2D3
8887-21,Nuclear migration protein nudC:CS domain,NUDC:CS,Q9Y266,NUDC
8888-33,Small integral membrane protein 9,CX068,A6NGZ8,SMIM9
8889-5,Cell cycle progression protein 1,CCPG1,Q9ULG6,CCPG1
8890-9,Transmembrane protein 132B,T132B,Q14DG7,TMEM132B
8891-7,Probable serine carboxypeptidase CPVL,CPVL,Q9H3G5,CPVL
8892-14,Platelet endothelial aggregation receptor 1:Cytoplasmic domain,PEAR1:CD,Q5VY43,PEAR1
8893-29,Poly [ADP-ribose] polymerase 1:region 1,PARP:region 1,P09874,PARP1
8894-80,Heterogeneous nuclear ribonucleoprotein A/B,hnRNP A/B,Q99729,HNRNPAB
8897-3,Leucine-rich repeat-containing protein 37A2,L37A2,A6NM11,LRRC37A2
8899-75,UDP-glucuronosyltransferase 1-8,UD18,Q9HAW9,UGT1A8
8900-28,Neogenin,NEO1,Q92859,NEO1
8901-40,14-3-3 protein gamma,14-3-3 protein gamma,P61981,YWHAG
8903-1,Cytochrome c oxidase subunit 6C,COX6C,P09669,COX6C
8905-20,Calcium-activated potassium channel subunit beta-3,KCMB3,Q9NPA1,KCNMB3
8906-60,Leucine-rich repeat and transmembrane domain-containing protein 2,LRTM2,Q8N967,LRTM2
8907-11,UDP-glucuronosyltransferase 2A1,UD2A1,P0DTE4,UGT2A1
8908-14,Potassium voltage-gated channel subfamily E regulatory beta subunit 5:Cytoplasmic domain,KCE1L:CD,Q9UJ90,KCNE5
8909-77,Glucosamine-6-phosphate isomerase 1,GNPI1,P46926,GNPDA1
8913-22,"Sialic acid-binding Ig-like lectin 11:Cytoplasmic domain, Isoform 2",SIG11:CD,Q96RL6,SIGLEC11
8916-32,Stromal interaction molecule 1:Cytoplasmic domain,STIM1:CD,Q13586,STIM1
8918-64,Protein-tyrosine kinase 2-beta:Focal adhesion targeting domain,FAK2:FAT,Q14289,PTK2B
8921-139,Polyadenylate-binding protein 2,PABP2,Q86U42,PABPN1
8922-4,Transmembrane and coiled-coil domains protein 3:region 1,TMCC3:region 1,Q9ULS5,TMCC3
8923-94,Polypeptide N-acetylgalactosaminyltransferase 16,GLTL1,Q8N428,GALNT16
8924-55,Neuron-specific vesicular protein calcyon,CALY,Q9NYX4,CALY
8925-25,Ribonucleoside-diphosphate reductase subunit M2 B,RIR2B,Q7LG56,RRM2B
8927-6,Uncharacterized protein C7orf73,CG073,E0CX11,STMP1
8929-7,Transcription factor TFIIIB component B'' homolog,BDP1,A6H8Y1,BDP1
8931-124,G0/G1 switch protein 2,G0S2,P27469,G0S2
8932-1,Ectonucleoside triphosphate diphosphohydrolase 6,ENTP6,O75354,ENTPD6
8933-84,Myocyte-specific enhancer factor 2C,MEF2C,Q06413,MEF2C
8935-22,Multidrug resistance-associated protein 6,MRP6,O95255,ABCC6
8941-4,Neuroligin-3,NLGN3,Q9NZ94,NLGN3
8942-2,"39S ribosomal protein L21, mitochondrial",RM21,Q7Z2W9,MRPL21
8945-7,BRISC complex subunit Abro1,F175B,Q15018,ABRAXAS2
8946-38,Bile acid receptor,NR1H4,Q96RI1,NR1H4
8948-13,Disintegrin and metalloproteinase domain-containing protein 19,ADA19,Q9H013,ADAM19
8950-4,Calcium-activated chloride channel regulator 2,CLCA2,Q9UQC9,CLCA2
8951-162,Chondroitin sulfate proteoglycan 4,CSPG4,Q6UVK1,CSPG4
8952-65,Granulocyte colony-stimulating factor,G-CSF,P09919,CSF3
8953-47,Hepatoma-derived growth factor,HDGF,P51858,HDGF
8954-30,Mitogen-activated protein kinase kinase kinase kinase 1,M4K1,Q92918,MAP4K1
8955-60,Glycosyltransferase 8 domain-containing protein 1,GL8D1,Q68CQ7,GLT8D1
8956-96,Scavenger receptor class F member 2:Extracellular domain,SREC-II:ECD,Q96GP6,SCARF2
8957-72,Endoplasmic reticulum lectin 1,XTP3B,Q96DZ1,ERLEC1
8958-51,Neural cell adhesion molecule L1-like protein,CHL1,O00533,CHL1
8959-61,Disintegrin and metalloproteinase domain-containing protein 17:Extracellular domain,ADAM 17:ECD,P78536,ADAM17
8960-3,Endoplasmic reticulum aminopeptidase 2,LRAP,Q6P179,ERAP2
8962-48,Ribosomal protein S6 kinase beta-1,KS6B1,P23443,RPS6KB1
8963-8,Vesicle transport through interaction with t-SNAREs homolog 1B,Vti1-rp1,Q9UEU0,VTI1B
8967-6,Dual specificity protein phosphatase 26,DUS26,Q9BV47,DUSP26
8969-49,Monocyte differentiation antigen CD14,CD14,P08571,CD14
8970-9,Receptor-interacting serine/threonine-protein kinase 2,RIPK2,O43353,RIPK2
8971-9,Neurexin-1,NRX1A,Q9ULB1,NRXN1
8973-23,Fc receptor-like protein 4:Extracellular domain,FCRL4:ECD,Q96PJ5,FCRL4
8974-172,Collagen alpha-1(XV) chain,COFA1,P39059,COL15A1
8975-26,Cell differentiation protein RCD1 homolog,RCD1,Q92600,CNOT9
8976-13,"Beta-1,4 N-acetylgalactosaminyltransferase 1",B4GN1,Q00973,B4GALNT1
8978-30,Mitogen-activated protein kinase kinase kinase kinase 3,M4K3,Q8IVH8,MAP4K3
8980-19,Cell surface glycoprotein CD200 receptor 2,MO2R2,Q6Q8B3,CD200R1L
8982-65,Thrombospondin-3,TSP3,P49746,THBS3
8983-7,Golgi membrane protein 1,GOLM1,Q8NBJ4,GOLM1
8984-28,Leucine-rich repeat and calponin homology domain-containing protein 4:Leucine-rich repeat 5,LRCH4: LRR5,O75427,LRCH4
8985-13,Protein SERAC1,SRAC1,Q96JX3,SERAC1
8986-2,D-3-phosphoglycerate dehydrogenase,SERA,O43175,PHGDH
8989-40,"Signal peptide, CUB and EGF-like domain-containing protein 1",SCUB1,Q8IWY4,SCUBE1
8990-42,Sodium/potassium-transporting ATPase subunit beta-3,AT1B3,P54709,ATP1B3
8991-115,Fc receptor-like protein 4:Cytoplasmic domain,FCRL4:CD,Q96PJ5,FCRL4
8992-1,Transmembrane protein 2,TMEM2,Q9UHN6,CEMIP2
8993-151,Receptor-interacting serine/threonine-protein kinase 2,RIPK2,O43353,RIPK2
8994-65,SLAM family member 8,SLAMF8,Q9P0V8,SLAMF8
8997-4,Neuronal pentraxin receptor,NPTXR,O95502,NPTXR
8998-15,Heparan sulfate glucosamine 3-O-sulfotransferase 4,HS3S4,Q9Y661,HS3ST4
8999-19,Carcinoembryonic antigen-related cell adhesion molecule 3,CEAM3,P40198,CEACAM3
9000-177,Neutral and basic amino acid transport protein rBAT,SLC31,Q07837,SLC3A1
9002-36,Serpin A11,SPA11,Q86U17,SERPINA11
9003-99,Macrophage receptor MARCO,MARCO,Q9UEW3,MARCO
9004-24,Low-density lipoprotein receptor class A domain-containing protein 4,CR001,O15165,LDLRAD4
9005-16,Plexin-A1,PLXA1,Q9UIW2,PLXNA1
9008-6,"Transmembrane gamma-carboxyglutamic acid protein 1:Pro-form, Extracellular domain","TMG1:Pro-form, ECD",O14668,PRRG1
9012-1,Pre-mRNA-processing factor 6:region 1,PRP6:region 1,O94906,PRPF6
9013-60,Netrin-1,NET1,O95631,NTN1
9014-18,Transmembrane protein 25,TMM25,Q86YD3,TMEM25
9015-1,Proteoglycan 3,PRG3,Q9Y2Y8,PRG3
9016-12,Oxysterols receptor LXR-beta,NR1H2,P55055,NR1H2
9017-58,Lactase-phlorizin hydrolase,LPH,P09848,LCT
9018-38,Protocadherin-10:Extracellular domain,PCD10:ECD,Q9P2E7,PCDH10
9021-1,Hepatitis A virus cellular receptor 1,TIM-1,Q96D42,HAVCR1
9022-49,Beta-defensin 132,DB132,Q7Z7B7,DEFB132
9025-5,Alpha-hemoglobin-stabilizing protein,AHSP,Q9NZD4,AHSP
9026-40,Butyrophilin-like protein 8,BTNL8,Q6UX41,BTNL8
9027-10,Neuroligin-2:Cytoplasmic domain,NLGN2:CD,Q8NFZ4,NLGN2
9028-5,"Poly(A) RNA polymerase, mitochondrial",PAPD1,Q9NVV4,MTPAP
9030-56,Uncharacterized protein C17orf89,CQ089,A1L188,NDUFAF8
9032-30,Proto-oncogene tyrosine-protein kinase ROS,ROS1,P08922,ROS1
9035-2,MAX-interacting protein 1,MXI1,P50539,MXI1
9037-1,Syntaxin-18,STX18,Q9P2W9,STX18
9038-12,Protein JTB,JTB,O76095,JTB
9039-47,Torsin-1A-interacting protein 1:Nuclear domain,TOIP1:Nuclear,Q5JTV8,TOR1AIP1
9040-144,Mammalian ependymin-related protein 1,EPDR1,Q9UM22,EPDR1
9043-7,Tuftelin-interacting protein 11,TFP11,Q9UBB9,TFIP11
9044-1,Contactin-associated protein-like 5,CNTP5,Q8WYK1,CNTNAP5
9045-3,Very long-chain acyl-CoA synthetase,S27A2,O14975,SLC27A2
9049-2,Monocarboxylate transporter 4,MOT4,O15427,SLC16A3
9050-170,Arginine/serine-rich protein 1,CA063,Q9BUV0,RSRP1
9051-13,Interleukin-32,IL32,P24001,IL32
9053-16,Cysteine-rich protein 2,CRIP2,P52943,CRIP2
9055-81,Myocardial zonula adherens protein,MYZAP,P0CAP1,MYZAP
9057-19,Proteasomal ubiquitin receptor ADRM1,ADRM1,Q16186,ADRM1
9058-1,Mitochondrial import inner membrane translocase subunit Tim21,TIM21,Q9BVV7,TIMM21
9059-14,Rap guanine nucleotide exchange factor 5,RPGF5,Q92565,RAPGEF5
9060-27,Protein turtle homolog B,TUTLB,Q9UPX0,IGSF9B
9061-3,Rho guanine nucleotide exchange factor 10,ARHGA,O15013,ARHGEF10
9064-12,RING finger protein 215:Cytoplasmic domain,RN215:CD,Q9Y6U7,RNF215
9065-28,Alpha-taxilin,TXLNA,P40222,TXLNA
9068-17,Janus kinase and microtubule-interacting protein 3,JKIP3,Q5VZ66,JAKMIP3
9070-1,Uncharacterized protein C17orf67,CQ067,Q0P5P2,C17orf67
9074-6,Fatty acid hydroxylase domain-containing protein 2,CE004,Q96IV6,FAXDC2
9075-121,UPF0258 protein KIAA1024,K1024,Q9UPX6,MINAR1
9076-25,Proenkephalin-A,PENK,P01210,PENK
9077-10,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",MA1A2,O60476,MAN1A2
9078-207,Beta-1-syntrophin,SNTB1,Q13884,SNTB1
9081-39,Zinc transporter 3,ZNT3,Q99726,SLC30A3
9082-25,Protein sel-1 homolog 2,SE1L2,Q5TEA6,SEL1L2
9083-35,Tyrosine-protein phosphatase non-receptor type substrate 1,SHPS1,P78324,SIRPA
9086-95,Mammaglobin-B,Mammaglobin 2,O75556,SCGB2A1
9087-8,NHL repeat-containing protein 3,NHLC3,Q5JS37,NHLRC3
9089-77,Junctophilin-3,JPH3,Q8WXH2,JPH3
9090-9,Synaptotagmin-like protein 4:Ca2+-dependent membrane-targeting module 1,SYTL4:C2 1,Q96C24,SYTL4
9092-33,Angiopoietin-related protein 1:N-term,ANGL1:N-term,O95841,ANGPTL1
9094-5,C-type lectin domain family 4 member C,CLC4C,Q8WTT0,CLEC4C
9095-5,Mitochondrial fission regulator 1,MTFR1,Q15390,MTFR1
9096-80,Lymphoid-restricted membrane protein,LRMP,Q12912,IRAG2
9097-5,UPF0577 protein KIAA1324:Cytoplasmic domain,K1324:CD,Q6UXG2,ELAPOR1
9099-19,Synaptotagmin-5,SYT5,O00445,SYT5
9100-32,Uncharacterized protein C5orf46,CE046,Q6UWT4,C5orf46
9102-28,"Protrudin:Cytoplasmic domain, region 2, isoform 5",ZFY27:CD region 2,Q5T4F4,ZFYVE27
9106-87,LysM and putative peptidoglycan-binding domain-containing protein 4,LYSM4,Q5XG99,LYSMD4
9107-59,Armadillo repeat-containing protein 10,ARM10,Q8N2F6,ARMC10
9110-2,Synaptotagmin-17,SYT17,Q9BSW7,SYT17
9111-40,Junctophilin-4,JPH4,Q96JJ6,JPH4
9114-84,Uromodulin-like 1,UROL1,Q5DID0,UMODL1
9115-78,ADAM DEC1,ADEC1,O15204,ADAMDEC1
9116-28,"HEPACAM family member 2:Isoform 1, Cytoplasmic domain",HECA2:CD,A8MVW5,HEPACAM2
9117-4,Interleukin-36 gamma,IL-1F9,Q9NZH8,IL36G
9118-7,PH and SEC7 domain-containing protein 2,PSD2,Q9BQI7,PSD2
9121-28,Galactoside 2-alpha-L-fucosyltransferase 2,FUT2,Q10981,FUT2
9123-18,Protein Dos,DOS,Q8N350,CBARP
9125-23,Mannan-binding lectin serine protease 1:Sushi 1 and Sushi 2,MASP3:Sushi 1 and Sushi 2,P48740,MASP1
9126-171,5'-nucleotidase domain-containing protein 3,NT5D3,Q86UY8,NT5DC3
9127-4,Prestin,S26A5,P58743,SLC26A5
9128-34,Leucine-rich repeat transmembrane protein FLRT3:Cytoplasmic domain,FLRT3:CD,Q9NZU0,FLRT3
9168-31,C-C motif chemokine 26,Eotaxin-3,Q9Y258,CCL26
9169-14,Small ubiquitin-related modifier 3,SUMO3,P55854,SUMO3
9170-24,Interleukin-17A,IL-17,Q16552,IL17A
9171-11,Cysteine and glycine-rich protein 3,CSRP3,P50461,CSRP3
9172-69,Neutrophil collagenase,MMP-8,P22894,MMP8
9173-21,Phosphoglucomutase-1,PGM1,P36871,PGM1
9175-48,Down syndrome cell adhesion molecule,DSCAM,O60469,DSCAM
9176-3,Mucin-1:region 2,MUC1:region 2,P15941,MUC1
9177-6,Protein FAM3B,FAM3B,P58499,FAM3B
9178-30,Neuregulin-1,NEUREGULIN-1,Q02297,NRG1
9180-6,Interferon gamma receptor 2:Extracellular domain,INGR2:ECD,P38484,IFNGR2
9182-3,"Low-density lipoprotein receptor-related protein 1, soluble:Extracellular domain, LDL receptor class A domains 11-20",sLRP1:ECD,Q07954,LRP1
9183-7,Interferon alpha/beta receptor 1,IFN-a/b R1,P17181,IFNAR1
9185-15,Trefoil factor 1,TFF1,P04155,TFF1
9187-2,Non-histone chromosomal protein HMG-14,HMGN1,P05114,HMGN1
9188-119,C-X-C motif chemokine 9,MIG,Q07325,CXCL9
9190-7,CD63 antigen,CD63,P08962,CD63
9191-8,Trefoil factor 2,Trefoil factor 2,Q03403,TFF2
9196-8,Galectin-7,Galectin-7,P47929,LGALS7
9197-4,Galectin-9,LEG9,O00182,LGALS9
9199-6,Ubiquitin-conjugating enzyme E2 G2,UB2G2,P60604,UBE2G2
