Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel
LUZP2,LUZP2:Q86TE4:Oncology_II,Q86TE4,23206,LUZP2,608178,ENSG00000187398,338645,OID31402,Leucine zipper protein 2,Olink Explore,Oncology_v1
GKN1,GKN1:Q9NS71:Neurology,Q9NS71,23217,GKN1,606402,ENSG00000169605,56287,OID20885,Gastrokine-1,Olink Explore,Neurology_v1
HSD17B14,HSD17B14:Q9BPX1:Neurology_II,Q9BPX1,23238,HSD17B14,612832,ENSG00000087076,51171,OID31098,17-beta-hydroxysteroid dehydrogenase 14,Olink Explore,Neurology_v1
TSPAN15,TSPAN15:O95858:Cardiometabolic_II,O95858,23298,TSPAN15,613140,ENSG00000099282,23555,OID30095,Tetraspanin-15,Olink Explore,Cardiometabolic_v1
PBLD,PBLD:P30039:Neurology,P30039,23301,PBLD,612189,ENSG00000108187,64081,OID20839,Phenazine biosynthesis-like domain-containing protein,Olink Explore,Neurology_v1
PRAP1,PRAP1:Q96NZ9:Cardiometabolic_II,Q96NZ9,23304,PRAP1,609776,ENSG00000165828,118471,OID30391,Proline-rich acidic protein 1,Olink Explore,Cardiometabolic_v1
PRTFDC1,PRTFDC1:Q9NRG1:Neurology,Q9NRG1,23333,PRTFDC1,610751,ENSG00000099256,56952,OID20867,Phosphoribosyltransferase domain-containing protein 1,Olink Explore,Neurology_v1
PIBF1,PIBF1:Q8WXW3-4:Neurology_II,Q8WXW3-4,23352,PIBF1,607532,ENSG00000083535,0,OID31061,"Progesterone-induced-blocking factor 1, Isoform 4",Olink Explore,Neurology_v1
OBP2B,OBP2B:Q9NPH6:Neurology,Q9NPH6,23381,OBP2B,604606,ENSG00000171102,29989,OID20980,Odorant-binding protein 2b,Olink Explore,Neurology_v1
MYCBP2,MYCBP2:O75592:Neurology_II,O75592,23386,MYCBP2,610392,ENSG00000005810,23077,OID30996,E3 ubiquitin-protein ligase MYCBP2,Olink Explore,Neurology_v1
ENPP6,ENPP6:Q6UWR7:Cardiometabolic_II,Q6UWR7,23409,ENPP6,616983,ENSG00000164303,133121,OID30273,Glycerophosphocholine cholinephosphodiesterase ENPP6,Olink Explore,Cardiometabolic_v1
KIFBP,KIFBP:Q96EK5:Oncology,Q96EK5,23419,KIFBP,609367,ENSG00000198954,26128,OID21320,KIF-binding protein,Olink Explore,Oncology_v1
FGFBP3,FGFBP3:Q8TAT2:Neurology_II,Q8TAT2,23428,FGFBP3,0,ENSG00000174721,143282,OID31108,Fibroblast growth factor-binding protein 3,Olink Explore,Neurology_v1
C9orf40,C9orf40:Q8IXQ3:Oncology_II,Q8IXQ3,23433,C9orf40,0,ENSG00000135045,55071,OID31489,Uncharacterized protein C9orf40,Olink Explore,Oncology_v1
DUSP29,DUSP29:Q68J44:Neurology_II,Q68J44,23481,DUSP29,618574,ENSG00000188716,338599,OID30935,Dual specificity phosphatase 29,Olink Explore,Neurology_v1
IDI2,IDI2:Q9BXS1:Neurology,Q9BXS1,23487,IDI2,615389,ENSG00000148377,91734,OID20823,Isopentenyl-diphosphate delta-isomerase 2,Olink Explore,Neurology_v1
ECHDC3,ECHDC3:Q96DC8:Cardiometabolic_II,Q96DC8,23489,ECHDC3,0,ENSG00000134463,79746,OID30293,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",Olink Explore,Cardiometabolic_v1
SLITRK6,SLITRK6:Q9H5Y7:Cardiometabolic,Q9H5Y7,23503,SLITRK6,609681,ENSG00000184564,84189,OID20094,SLIT and NTRK-like protein 6,Olink Explore,Cardiometabolic_v1
MORC3,MORC3:Q14149:Neurology_II,Q14149,23572,MORC3,610078,ENSG00000159256,23515,OID31073,MORC family CW-type zinc finger protein 3,Olink Explore,Neurology_v1
GNE,GNE:Q9Y223:Oncology,Q9Y223,23657,GNE,603824,ENSG00000159921,10020,OID21231,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,Olink Explore,Oncology_v1
MAMDC2,MAMDC2:Q7Z304:Cardiometabolic_II,Q7Z304,23673,MAMDC2,612879,ENSG00000165072,256691,OID30309,MAM domain-containing protein 2,Olink Explore,Cardiometabolic_v1
GPR158,GPR158:Q5T848:Neurology_II,Q5T848,23689,GPR158,614573,ENSG00000151025,57512,OID31013,Probable G-protein coupled receptor 158,Olink Explore,Neurology_v1
PHLDB1,PHLDB1:Q86UU1:Oncology_II,Q86UU1,23697,PHLDB1,612834,ENSG00000019144,23187,OID31467,Pleckstrin homology-like domain family B member 1,Olink Explore,Oncology_v1
DNAJB8,DNAJB8:Q8NHS0:Cardiometabolic,Q8NHS0,23699,DNAJB8,611337,ENSG00000179407,165721,OID20093,DnaJ homolog subfamily B member 8,Olink Explore,Cardiometabolic_v1
ENPP7,ENPP7:Q6UWV6:Inflammation,Q6UWV6,23764,ENPP7,616997,ENSG00000182156,339221,OID20689,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Olink Explore,Inflammation_v1
PIKFYVE,PIKFYVE:Q9Y2I7:Inflammation_II,Q9Y2I7,23785,PIKFYVE,609414,ENSG00000115020,200576,OID30465,1-phosphatidylinositol 3-phosphate 5-kinase,Olink Explore,Inflammation_v1
PACS2,PACS2:Q86VP3:Cardiometabolic_II,Q86VP3,23794,PACS2,610423,ENSG00000179364,23241,OID30186,Phosphofurin acidic cluster sorting protein 2,Olink Explore,Cardiometabolic_v1
ITGB1BP1,ITGB1BP1:O14713:Oncology,O14713,23927,ITGB1BP1,607153,ENSG00000119185,9270,OID21268,Integrin beta-1-binding protein 1,Olink Explore,Oncology_v1
ERI1,ERI1:Q8IV48:Oncology_II,Q8IV48,23994,ERI1,608739,ENSG00000104626,90459,OID31317,3'-5' exoribonuclease 1,Olink Explore,Oncology_v1
MORN4,MORN4:Q8NDC4:Oncology_II,Q8NDC4,24001,MORN4,617736,ENSG00000171160,118812,OID31217,MORN repeat-containing protein 4,Olink Explore,Oncology_v1
AZI2,AZI2:Q9H6S1:Neurology_II,Q9H6S1,24002,AZI2,609916,ENSG00000163512,64343,OID31056,5-azacytidine-induced protein 2,Olink Explore,Neurology_v1
AFAP1,AFAP1:Q8N556:Inflammation_II,Q8N556,24017,AFAP1,608252,ENSG00000196526,60312,OID30569,Actin filament-associated protein 1,Olink Explore,Inflammation_v1
CLMP,CLMP:Q9H6B4:Oncology,Q9H6B4,24039,CLMP,611693,ENSG00000166250,79827,OID21419,CXADR-like membrane protein,Olink Explore,Oncology_v1
ART5,ART5:Q96L15:Neurology_II,Q96L15,24049,ART5,610625,ENSG00000167311,116969,OID30828,Ecto-ADP-ribosyltransferase 5,Olink Explore,Neurology_v1
AKR7L,AKR7L:Q8NHP1:Inflammation_II,Q8NHP1,24056,AKR7L,608478,ENSG00000211454,246181,OID30488,Aflatoxin B1 aldehyde reductase member 4,Olink Explore,Inflammation_v1
TMPRSS11D,TMPRSS11D:O60235:Neurology_II,O60235,24059,TMPRSS11D,605369,ENSG00000153802,9407,OID31103,Transmembrane protease serine 11D,Olink Explore,Neurology_v1
AMIGO2,AMIGO2:Q86SJ2:Oncology,Q86SJ2,24073,AMIGO2,615690,ENSG00000139211,347902,OID21370,Amphoterin-induced protein 2,Olink Explore,Oncology_v1
ANGPTL7,ANGPTL7:O43827:Oncology,O43827,24078,ANGPTL7,618517,ENSG00000171819,10218,OID21412,Angiopoietin-related protein 7,Olink Explore,Oncology_v1
MAMDC4,MAMDC4:Q6UXC1:Oncology_II,Q6UXC1,24083,MAMDC4,617208,ENSG00000177943,158056,OID31342,Apical endosomal glycoprotein,Olink Explore,Oncology_v1
APOBR,APOBR:Q0VD83:Cardiometabolic_II,Q0VD83,24087,APOBR,605220,ENSG00000184730,55911,OID30246,Apolipoprotein B receptor,Olink Explore,Cardiometabolic_v1
ATRAID,ATRAID:Q6UW56:Oncology_II,Q6UW56,24090,ATRAID,619682,ENSG00000138085,51374,OID31451,All-trans retinoic acid-induced differentiation factor,Olink Explore,Oncology_v1
ACY3,ACY3:Q96HD9:Cardiometabolic_II,Q96HD9,24104,ACY3,614413,ENSG00000132744,91703,OID30086,N-acyl-aromatic-L-amino acid amidohydrolase,Olink Explore,Cardiometabolic_v1
TXNDC9,TXNDC9:O14530:Neurology_II,O14530,24110,TXNDC9,612564,ENSG00000115514,10190,OID31121,Thioredoxin domain-containing protein 9,Olink Explore,Neurology_v1
TRIM58,TRIM58:Q8NG06:Oncology_II,Q8NG06,24150,TRIM58,620527,ENSG00000162722,25893,OID31429,E3 ubiquitin-protein ligase TRIM58,Olink Explore,Oncology_v1
CEND1,CEND1:Q8N111:Neurology_II,Q8N111,24153,CEND1,608213,ENSG00000184524,51286,OID30821,Cell cycle exit and neuronal differentiation protein 1,Olink Explore,Neurology_v1
BMPER,BMPER:Q8N8U9:Inflammation_II,Q8N8U9,24154,BMPER,608699,ENSG00000164619,168667,OID30615,BMP-binding endothelial regulator protein,Olink Explore,Inflammation_v1
TPPP3,TPPP3:Q9BW30:Neurology,Q9BW30,24162,TPPP3,616957,ENSG00000159713,51673,OID20842,Tubulin polymerization-promoting protein family member 3,Olink Explore,Neurology_v1
AGR3,AGR3:Q8TD06:Oncology,Q8TD06,24167,AGR3,609482,ENSG00000173467,155465,OID21243,Anterior gradient protein 3,Olink Explore,Oncology_v1
CHRDL2,CHRDL2:Q6WN34:Cardiometabolic,Q6WN34,24168,CHRDL2,613127,ENSG00000054938,25884,OID20223,Chordin-like protein 2,Olink Explore,Cardiometabolic_v1
C1QL2,C1QL2:Q7Z5L3:Inflammation_II,Q7Z5L3,24181,C1QL2,614330,ENSG00000144119,165257,OID30515,Complement C1q-like protein 2,Olink Explore,Inflammation_v1
CD200R1,CD200R1:Q8TD46:Inflammation,Q8TD46,24235,CD200R1,607546,ENSG00000163606,131450,OID20595,Cell surface glycoprotein CD200 receptor 1,Olink Explore,Inflammation_v1
RRP15,RRP15:Q9Y3B9:Neurology_II,Q9Y3B9,24255,RRP15,611193,ENSG00000067533,51018,OID30867,RRP15-like protein,Olink Explore,Neurology_v1
WASHC3,WASHC3:Q9Y3C0:Neurology_II,Q9Y3C0,24256,WASHC3,619925,ENSG00000120860,51019,OID31123,WASH complex subunit 3,Olink Explore,Neurology_v1
BOLA1,BOLA1:Q9Y3E2:Neurology_II,Q9Y3E2,24263,BOLA1,613181,ENSG00000178096,51027,OID30837,BolA-like protein 1,Olink Explore,Neurology_v1
OTUD6B,OTUD6B:Q8N6M0:Oncology_II,Q8N6M0,24281,OTUD6B,612021,ENSG00000155100,51633,OID31487,Deubiquitinase OTUD6B,Olink Explore,Oncology_v1
PLEKHO1,PLEKHO1:Q53GL0:Neurology_II,Q53GL0,24310,PLEKHO1,608335,ENSG00000023902,51177,OID31088,Pleckstrin homology domain-containing family O member 1,Olink Explore,Neurology_v1
CRTAM,CRTAM:O95727:Neurology,O95727,24313,CRTAM,612597,ENSG00000109943,56253,OID20914,Cytotoxic and regulatory T-cell molecule,Olink Explore,Neurology_v1
CMIP,CMIP:Q8IY22:Oncology_II,Q8IY22,24319,CMIP,610112,ENSG00000153815,80790,OID31406,C-Maf-inducing protein,Olink Explore,Oncology_v1
CLEC1A,CLEC1A:Q8NC01:Cardiometabolic,Q8NC01,24355,CLEC1A,606782,ENSG00000150048,51267,OID20099,C-type lectin domain family 1 member A,Olink Explore,Cardiometabolic_v1
CLEC1B,CLEC1B:Q9P126:Neurology,Q9P126,24356,CLEC1B,606783,ENSG00000165682,51266,OID21061,C-type lectin domain family 1 member B,Olink Explore,Neurology_v1
CDCP1,CDCP1:Q9H5V8:Neurology,Q9H5V8,24357,CDCP1,611735,ENSG00000163814,64866,OID20940,CUB domain-containing protein 1,Olink Explore,Neurology_v1
CYB5R2,CYB5R2:Q6BCY4:Oncology_II,Q6BCY4,24376,CYB5R2,608342,ENSG00000166394,51700,OID31512,NADH-cytochrome b5 reductase 2,Olink Explore,Oncology_v1
GLYR1,GLYR1:Q49A26:Oncology_II,Q49A26,24434,GLYR1,610660,ENSG00000140632,84656,OID31364,Putative oxidoreductase GLYR1,Olink Explore,Oncology_v1
CYTL1,CYTL1:Q9NRR1:Cardiometabolic_II,Q9NRR1,24435,CYTL1,607930,ENSG00000170891,54360,OID30374,Cytokine-like protein 1,Olink Explore,Cardiometabolic_v1
DNER,DNER:Q8NFT8:Inflammation,Q8NFT8,24456,DNER,607299,ENSG00000187957,92737,OID20712,Delta and Notch-like epidermal growth factor-related receptor,Olink Explore,Inflammation_v1
DTX3,DTX3:Q8N9I9:Oncology,Q8N9I9,24457,DTX3,613142,ENSG00000178498,196403,OID21349,Probable E3 ubiquitin-protein ligase DTX3,Olink Explore,Oncology_v1
PSRC1,PSRC1:Q6PGN9:Oncology,Q6PGN9,24472,PSRC1,613126,ENSG00000134222,84722,OID21169,Proline/serine-rich coiled-coil protein 1,Olink Explore,Oncology_v1
GASK1A,GASK1A:Q9UFP1:Cardiometabolic_II,Q9UFP1,24485,GASK1A,620413,ENSG00000144649,729085,OID30109,Golgi-associated kinase 1A,Olink Explore,Cardiometabolic_v1
TCTN3,TCTN3:Q6NUS6:Cardiometabolic_II,Q6NUS6,24519,TCTN3,613847,ENSG00000119977,26123,OID30326,Tectonic-3,Olink Explore,Cardiometabolic_v1
PAMR1,PAMR1:Q6UXH9:Neurology,Q6UXH9,24554,PAMR1,0,ENSG00000149090,25891,OID21153,Inactive serine protease PAMR1,Olink Explore,Neurology_v1
DDI2,DDI2:Q5TDH0:Inflammation_II,Q5TDH0,24578,DDI2,0,ENSG00000197312,84301,OID30602,Protein DDI1 homolog 2,Olink Explore,Inflammation_v1
DPY30,DPY30:Q9C005:Oncology,Q9C005,24590,DPY30,612032,ENSG00000162961,84661,OID21410,Protein dpy-30 homolog,Olink Explore,Oncology_v1
CLEC4G,CLEC4G:Q6UXB4:Inflammation,Q6UXB4,24591,CLEC4G,616256,ENSG00000182566,339390,OID20590,C-type lectin domain family 4 member G,Olink Explore,Inflammation_v1
CELA2A,CELA2A:P08217:Cardiometabolic_II,P08217,24609,CELA2A,609443,ENSG00000142615,63036,OID30411,Chymotrypsin-like elastase family member 2A,Olink Explore,Cardiometabolic_v1
SIL1,SIL1:Q9H173:Cardiometabolic_II,Q9H173,24624,SIL1,608005,ENSG00000120725,64374,OID30207,Nucleotide exchange factor SIL1,Olink Explore,Cardiometabolic_v1
DCBLD2,DCBLD2:Q96PD2:Oncology,Q96PD2,24627,DCBLD2,608698,ENSG00000057019,131566,OID21474,"Discoidin, CUB and LCCL domain-containing protein 2",Olink Explore,Oncology_v1
RABGAP1L,RABGAP1L:Q5R372:Inflammation,Q5R372,24663,RABGAP1L,609238,ENSG00000152061,9910,OID20447,Rab GTPase-activating protein 1-like,Olink Explore,Inflammation_v1
CFHR5,CFHR5:Q9BXR6:Inflammation_II,Q9BXR6,24668,CFHR5,608593,ENSG00000134389,81494,OID30716,Complement factor H-related protein 5,Olink Explore,Inflammation_v1
FCAMR,FCAMR:Q8WWV6:Cardiometabolic_II,Q8WWV6,24692,FCAMR,605484,ENSG00000162897,83953,OID30332,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,Olink Explore,Cardiometabolic_v1
SNED1,SNED1:Q8TER0:Cardiometabolic_II,Q8TER0,24696,SNED1,616634,ENSG00000162804,25992,OID30205,"Sushi, nidogen and EGF-like domain-containing protein 1",Olink Explore,Cardiometabolic_v1
FUOM,FUOM:A2VDF0:Inflammation_II,A2VDF0,24733,FUOM,617725,ENSG00000148803,282969,OID30626,Fucose mutarotase,Olink Explore,Inflammation_v1
PDIA5,PDIA5:Q14554:Oncology_II,Q14554,24811,PDIA5,616942,ENSG00000065485,10954,OID31209,Protein disulfide-isomerase A5,Olink Explore,Oncology_v1
CEACAM20,CEACAM20:Q6UY09:Oncology_II,Q6UY09,24879,CEACAM20,0,ENSG00000273777,125931,OID31308,Carcinoembryonic antigen-related cell adhesion molecule 20,Olink Explore,Oncology_v1
LYPD3,LYPD3:O95274:Oncology,O95274,24880,LYPD3,609484,ENSG00000124466,27076,OID21530,Ly6/PLAUR domain-containing protein 3,Olink Explore,Oncology_v1
GLT8D2,GLT8D2:Q9H1C3:Neurology,Q9H1C3,24890,GLT8D2,0,ENSG00000120820,83468,OID20825,Glycosyltransferase 8 domain-containing protein 2,Olink Explore,Neurology_v1
GOLM2,GOLM2:Q6P4E1:Neurology,Q6P4E1,24892,GOLM2,0,ENSG00000166734,113201,OID21044,Protein GOLM2,Olink Explore,Neurology_v1
CDNF,CDNF:Q49AH0:Oncology,Q49AH0,24913,CDNF,611233,ENSG00000185267,441549,OID21318,Cerebral dopamine neurotrophic factor,Olink Explore,Oncology_v1
VPS37A,VPS37A:Q8NEZ2:Oncology,Q8NEZ2,24928,VPS37A,609927,ENSG00000155975,137492,OID21355,Vacuolar protein sorting-associated protein 37A,Olink Explore,Oncology_v1
PIK3IP1,PIK3IP1:Q96FE7:Neurology,Q96FE7,24942,PIK3IP1,619158,ENSG00000100100,113791,OID21094,Phosphoinositide-3-kinase-interacting protein 1,Olink Explore,Neurology_v1
GPIHBP1,GPIHBP1:Q8IV16:Oncology_II,Q8IV16,24945,GPIHBP1,612757,ENSG00000277494,338328,OID31469,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,Olink Explore,Oncology_v1
SBSN,SBSN:Q6UWP8:Cardiometabolic_II,Q6UWP8,24950,SBSN,609969,ENSG00000189001,374897,OID30398,Suprabasin,Olink Explore,Cardiometabolic_v1
HEXIM1,HEXIM1:O94992:Inflammation,O94992,24953,HEXIM1,607328,ENSG00000186834,10614,OID20589,Protein HEXIM1,Olink Explore,Inflammation_v1
HS1BP3,HS1BP3:Q53T59:Cardiometabolic_II,Q53T59,24979,HS1BP3,609359,ENSG00000118960,64342,OID30243,HCLS1-binding protein 3,Olink Explore,Cardiometabolic_v1
COMMD9,COMMD9:Q9P000:Oncology_II,Q9P000,25014,COMMD9,612299,ENSG00000110442,29099,OID31390,COMM domain-containing protein 9,Olink Explore,Oncology_v1
PITHD1,PITHD1:Q9GZP4:Oncology_II,Q9GZP4,25022,PITHD1,618784,ENSG00000057757,57095,OID31215,PITH domain-containing protein 1,Olink Explore,Oncology_v1
YOD1,YOD1:Q5VVQ6:Cardiometabolic_II,Q5VVQ6,25035,YOD1,612023,ENSG00000180667,55432,OID30181,Ubiquitin thioesterase OTU1,Olink Explore,Cardiometabolic_v1
DRAXIN,DRAXIN:Q8NBI3:Neurology,Q8NBI3,25054,DRAXIN,612682,ENSG00000162490,374946,OID20917,Draxin,Olink Explore,Neurology_v1
MTSS2,MTSS2:Q765P7:Oncology_II,Q765P7,25094,MTSS2,616951,ENSG00000132613,92154,OID31409,Protein MTSS 2,Olink Explore,Oncology_v1
GGACT,GGACT:Q9BVM4:Cardiometabolic_II,Q9BVM4,25100,GGACT,613378,ENSG00000134864,87769,OID30290,Gamma-glutamylaminecyclotransferase,Olink Explore,Cardiometabolic_v1
TIMD4,TIMD4:Q96H15:Cardiometabolic,Q96H15,25132,TIMD4,610096,ENSG00000145850,91937,OID20375,T-cell immunoglobulin and mucin domain-containing protein 4,Olink Explore,Cardiometabolic_v1
ANKRD54,ANKRD54:Q6NXT1:Oncology,Q6NXT1,25185,ANKRD54,613383,ENSG00000100124,129138,OID21162,Ankyrin repeat domain-containing protein 54,Olink Explore,Oncology_v1
MITD1,MITD1:Q8WV92:Neurology,Q8WV92,25207,MITD1,0,ENSG00000158411,129531,OID20959,MIT domain-containing protein 1,Olink Explore,Neurology_v1
PRUNE2,PRUNE2:Q8WUY3:Oncology_II,Q8WUY3,25209,PRUNE2,610691,ENSG00000106772,158471,OID31270,Protein prune homolog 2,Olink Explore,Oncology_v1
CEP85,CEP85:Q6P2H3:Oncology,Q6P2H3,25309,CEP85,618898,ENSG00000130695,64793,OID21241,Centrosomal protein of 85 kDa,Olink Explore,Oncology_v1
FAM172A,FAM172A:Q8WUF8:Cardiometabolic_II,Q8WUF8,25365,ARB2A,0,ENSG00000113391,83989,OID30248,Cotranscriptional regulator FAM172A,Olink Explore,Cardiometabolic_v1
ANKMY2,ANKMY2:Q8IV38:Inflammation_II,Q8IV38,25370,ANKMY2,0,ENSG00000106524,57037,OID30518,Ankyrin repeat and MYND domain-containing protein 2,Olink Explore,Inflammation_v1
GBP6,GBP6:Q6ZN66:Cardiometabolic_II,Q6ZN66,25395,GBP6,612467,ENSG00000183347,163351,OID30139,Guanylate-binding protein 6,Olink Explore,Cardiometabolic_v1
SUSD1,SUSD1:Q6UWL2:Cardiometabolic,Q6UWL2,25413,SUSD1,0,ENSG00000106868,64420,OID20072,Sushi domain-containing protein 1,Olink Explore,Cardiometabolic_v1
ARL13B,ARL13B:Q3SXY8:Cardiometabolic_II,Q3SXY8,25419,ARL13B,608922,ENSG00000169379,200894,OID30166,ADP-ribosylation factor-like protein 13B,Olink Explore,Cardiometabolic_v1
C19orf12,C19orf12:Q9NSK7:Neurology,Q9NSK7,25443,C19orf12,614297,ENSG00000131943,83636,OID20804,Protein C19orf12,Olink Explore,Neurology_v1
KAZALD1,KAZALD1:Q96I82:Oncology,Q96I82,25460,KAZALD1,609208,ENSG00000107821,81621,OID21339,Kazal-type serine protease inhibitor domain-containing protein 1,Olink Explore,Oncology_v1
SUSD4,SUSD4:Q5VX71:Oncology_II,Q5VX71,25470,SUSD4,615827,ENSG00000143502,55061,OID31398,Sushi domain-containing protein 4,Olink Explore,Oncology_v1
MANSC1,MANSC1:Q9H8J5:Oncology,Q9H8J5,25505,MANSC1,0,ENSG00000111261,54682,OID21492,MANSC domain-containing protein 1,Olink Explore,Oncology_v1
YJU2,YJU2:Q9BW85:Oncology_II,Q9BW85,25518,YJU2,0,ENSG00000105248,55702,OID31404,Splicing factor YJU2,Olink Explore,Oncology_v1
NECAP2,NECAP2:Q9NVZ3:Cardiometabolic_II,Q9NVZ3,25528,NECAP2,611624,ENSG00000157191,55707,OID30089,Adaptin ear-binding coat-associated protein 2,Olink Explore,Cardiometabolic_v1
VPS53,VPS53:Q5VIR6:Oncology,Q5VIR6,25608,VPS53,615850,ENSG00000141252,55275,OID21281,Vacuolar protein sorting-associated protein 53 homolog,Olink Explore,Oncology_v1
TBC1D23,TBC1D23:Q9NUY8:Oncology,Q9NUY8,25622,TBC1D23,617687,ENSG00000036054,55773,OID21286,TBC1 domain family member 23,Olink Explore,Oncology_v1
CPPED1,CPPED1:Q9BRF8:Neurology,Q9BRF8,25632,CPPED1,615603,ENSG00000103381,55313,OID21053,Serine/threonine-protein phosphatase CPPED1,Olink Explore,Neurology_v1
MINDY1,MINDY1:Q8N5J2:Oncology_II,Q8N5J2,25648,MINDY1,618407,ENSG00000143409,55793,OID31399,Ubiquitin carboxyl-terminal hydrolase MINDY-1,Olink Explore,Oncology_v1
CHMP6,CHMP6:Q96FZ7:Cardiometabolic_II,Q96FZ7,25675,CHMP6,610901,ENSG00000176108,79643,OID30327,Charged multivesicular body protein 6,Olink Explore,Cardiometabolic_v1
TBC1D17,TBC1D17:Q9HA65:Neurology,Q9HA65,25699,TBC1D17,616659,ENSG00000104946,79735,OID20844,TBC1 domain family member 17,Olink Explore,Neurology_v1
MTHFSD,MTHFSD:Q2M296:Oncology_II,Q2M296,25778,MTHFSD,616820,ENSG00000103248,64779,OID31305,Methenyltetrahydrofolate synthase domain-containing protein,Olink Explore,Oncology_v1
UBE2Z,UBE2Z:Q9H832:Inflammation_II,Q9H832,25847,UBE2Z,611362,ENSG00000159202,65264,OID30427,Ubiquitin-conjugating enzyme E2 Z,Olink Explore,Inflammation_v1
DIPK2B,DIPK2B:Q9H7Y0:Inflammation_II,Q9H7Y0,25866,DIPK2B,300959,ENSG00000147113,79742,OID30582,Divergent protein kinase domain 2B,Olink Explore,Inflammation_v1
DNAJB14,DNAJB14:Q8TBM8:Oncology_II,Q8TBM8,25881,DNAJB14,617487,ENSG00000164031,79982,OID31434,DnaJ homolog subfamily B member 14,Olink Explore,Oncology_v1
TMEM25,TMEM25:Q86YD3:Neurology_II,Q86YD3,25890,TMEM25,613934,ENSG00000149582,84866,OID31015,Transmembrane protein 25,Olink Explore,Neurology_v1
TET2,TET2:Q6N021:Oncology_II,Q6N021,25941,TET2,612839,ENSG00000168769,54790,OID31266,Methylcytosine dioxygenase TET2,Olink Explore,Oncology_v1
MED18,MED18:Q9BUE0:Oncology,Q9BUE0,25944,MED18,612384,ENSG00000130772,54797,OID21236,Mediator of RNA polymerase II transcription subunit 18,Olink Explore,Oncology_v1
LYAR,LYAR:Q9NX58:Oncology,Q9NX58,26021,LYAR,617684,ENSG00000145220,55646,OID21264,Cell growth-regulating nucleolar protein,Olink Explore,Oncology_v1
LPCAT2,LPCAT2:Q7L5N7:Oncology,Q7L5N7,26032,LPCAT2,612040,ENSG00000087253,54947,OID21290,Lysophosphatidylcholine acyltransferase 2,Olink Explore,Oncology_v1
ODAM,ODAM:A1E959:Neurology,A1E959,26043,ODAM,614843,ENSG00000109205,54959,OID20793,Odontogenic ameloblast-associated protein,Olink Explore,Neurology_v1
MENT,MENT:Q9BUN1:Inflammation_II,Q9BUN1,26045,C1orf56,0,ENSG00000143443,54964,OID30595,Protein MENT,Olink Explore,Inflammation_v1
VSIG10,VSIG10:Q8N0Z9:Oncology_II,Q8N0Z9,26078,VSIG10,0,ENSG00000176834,54621,OID31400,V-set and immunoglobulin domain-containing protein 10,Olink Explore,Oncology_v1
REEP4,REEP4:Q9H6H4:Neurology_II,Q9H6H4,26176,REEP4,609349,ENSG00000168476,80346,OID31028,Receptor expression-enhancing protein 4,Olink Explore,Neurology_v1
CCDC134,CCDC134:Q9H6E4:Oncology_II,Q9H6E4,26185,CCDC134,618788,ENSG00000100147,79879,OID31413,Coiled-coil domain-containing protein 134,Olink Explore,Oncology_v1
TNFAIP8L2,TNFAIP8L2:Q6P589:Inflammation_II,Q6P589,26277,TNFAIP8L2,612112,ENSG00000163154,79626,OID30629,Tumor necrosis factor alpha-induced protein 8-like protein 2,Olink Explore,Inflammation_v1
PXDNL,PXDNL:A1KZ92:Oncology_II,A1KZ92,26359,PXDNL,615904,ENSG00000147485,137902,OID31405,Peroxidasin-like protein,Olink Explore,Oncology_v1
PRTG,PRTG:Q2VWP7:Oncology,Q2VWP7,26373,PRTG,613261,ENSG00000166450,283659,OID21443,Protogenin,Olink Explore,Oncology_v1
FCRLB,FCRLB:Q6BAA4:Oncology,Q6BAA4,26431,FCRLB,609251,ENSG00000162746,127943,OID21193,Fc receptor-like B,Olink Explore,Oncology_v1
CEP20,CEP20:Q96NB1:Oncology,Q96NB1,26435,CEP20,617149,ENSG00000133393,123811,OID21209,Centrosomal protein 20,Olink Explore,Oncology_v1
NUDT16,NUDT16:Q96DE0:Oncology_II,Q96DE0,26442,NUDT16,617381,ENSG00000198585,131870,OID31484,U8 snoRNA-decapping enzyme,Olink Explore,Oncology_v1
MANEAL,MANEAL:Q5VSG8:Oncology_II,Q5VSG8,26452,MANEAL,0,ENSG00000185090,149175,OID31244,"Glycoprotein endo-alpha-1,2-mannosidase-like protein",Olink Explore,Oncology_v1
YTHDF3,YTHDF3:Q7Z739:Inflammation,Q7Z739,26465,YTHDF3,618669,ENSG00000185728,253943,OID20478,YTH domain-containing family protein 3,Olink Explore,Inflammation_v1
CNST,CNST:Q6PJW8:Cardiometabolic,Q6PJW8,26486,CNST,613439,ENSG00000162852,163882,OID20127,Consortin,Olink Explore,Cardiometabolic_v1
